卦序,卦名,象辞,卦辞,彖辞
,,,,
,,,,
,,,,
,,,,
,,,,
39,蹇卦（艮下坎上，水山蹇）,山上有水，蹇；君子以反身修德。,蹇。利西南，不利东北，利见大人，贞吉。,蹇，难也，险在前也。见险而能止，知矣哉！蹇，利西南，往得中也；不利东北，其道穷也。利见大人，往有功也。当位贞吉，以正邦也。蹇之时用大矣哉！
,,,,
,,,,
,,,,
,,,,
,,,,
40,解卦（坎下震上，雷水解）,雷雨作，解；君子以赦过宥罪。,解。利西南，无所往，其来复，吉。有攸往，夙吉。,解，险以动，动而且免乎险，解。解，利西南，往得众也；其来复吉，乃得中也；有攸往夙吉，往有功也。天地解而雷雨作，雷雨作而百果草木皆甲坼，解之时大矣哉！
,,,,
,,,,
,,,,
,,,,
,,,,
41,损卦（兑下艮上，山泽损）,山下有泽，损；君子以惩忿窒欲。,损。有孚，元吉，无咎，可贞。利有攸往，曷之用？二簋可用享。,损，损下益上，其道上行。损而有孚，元吉，无咎，可贞，利有攸往，曷之用，二簋可用享，二簋应有时，损刚益柔有时，损益盈虚，与时偕行。
,,,,
,,,,
,,,,
,,,,
,,,,
42,益卦（震下巽上，风雷益）,风雷，益；君子以风险见善则迁，有过则改。,益。利有攸往，利涉大川。,益，损上益下，民说无疆，自上下下，其道大兆；利有攸往，中正有庆；利涉大川，木道乃行；益动而巽，日进无疆；天施地生，其益无方；凡益之道，与时偕行。
,,,,
,,,,
,,,,
,,,,
,,,,
43,夬卦（乾下兑上，泽天夬）,泽上于天，夬；君子以施禄及下，居德则忌。,夬。扬于王庭，孚号有厉，告自邑，不利即戎，利有攸往。,夬，决也，刚决柔也；健而说，决而和。扬于王庭，柔乘五刚也；孚号有厉，其危乃光也；告自邑，不利即戎，所尚乃穷也；利有攸往，刚长乃终也。
,,,,
,,,,
,,,,
,,,,
,,,,
44,姤卦（巽下乾上，天风姤）,天下有风，姤；后以施命诰四方。,姤。女壮，勿用取女。,姤，遇也，柔遇刚也。勿用取女，不可与长也。天地相遇，品物咸章也；刚遇中正，天下大行也。姤之时义大矣哉！
,,,,
,,,,
,,,,
,,,,
,,,,
45,萃卦（坤下兑上，泽地萃）,泽上于地，萃；君子以除（修整）戎器，戒不虞。,萃。亨。王假有庙，利见大人，亨，利贞。用大牲，吉。利有攸往。,萃，聚也。顺以说，刚中而应，故聚也。王假有庙，致孝享也；利见大人亨，聚以正也。用大牲吉，利有攸往，顺天命也。观其所聚，而天地万物之情可见矣。
,,,,
,,,,
,,,,
,,,,
,,,,
46,升卦（巽下坤上，地风升）,地中生木，升；君子以顺德，积小以高大。,升。元亨，用见大人，勿恤。南征，吉。,柔以时升，巽而顺，刚中而应，是以大亨。用见大人勿恤，有庆也。南征吉，志行也。
,,,,
,,,,
,,,,
,,,,
,,,,
47,困卦（坎下兑上，泽水困）,泽无水，困；君子以致命遂志。,困。亨，大人吉，无咎。有言不信。,困，刚揜(yǎn掩)也。险以说，困而不失其所亨，其唯君子乎？贞大人吉，以刚中也；有言不信，尚口乃穷也。
,,,,
,,,,
,,,,
,,,,
,,,,
48,井卦（巽下坎上，水风井）,木上有水，井；君子以劳民劝相。,井。改邑不改井，无丧无得，往来井井。汔至，亦未繘井，羸其瓶，凶。,巽（入之意）乎水而上水，井；井养而不穷也。改邑而不改井，乃以刚中也；汔至亦未繘井，未有功也；羸其瓶，是以凶也。
,,,,
,,,,
,,,,
,,,,
,,,,
49,革卦（离下兑上，泽火革）,泽中有火，革；君子以治历明时。,革。已日乃孚；元亨，利贞，悔亡。,革，水火相息，二女同居，其志不相得，曰革。已日乃孚。革而信之，文明以说，大亨以正；革而当，其悔乃亡。天地革而四时成，汤武革命，顺乎天而应乎人。革之时大矣哉。
,,,,
,,,,
,,,,
,,,,
,,,,
50,鼎卦（巽下离上，火风鼎）,木上有火，鼎；君子以正位凝命。,鼎。元吉，亨。,鼎，象也，以木巽（入之意）火，亨饪也。圣人亨以享上帝，而大亨以养圣贤。巽而耳目聪明，柔进而上行，得中而应乎刚，是以元亨。
,,,,
,,,,
,,,,
,,,,
,,,,
51,震卦（震下震上，震为雷）,洊雷，震；君子以恐惧修省。,震。亨。震来虩虩[xì形容恐惧] ，笑言哑哑；震惊百里，不丧匕（祭器）鬯[chàng祭祀用的酒]。,震亨。震来虩虩 ，恐致福也；笑言哑哑，后有则也；震惊百里，惊远而惧迩也；出可以守宗庙社稷，以为祭主也。
,,,,
,,,,
,,,,
,,,,
,,,,
52,艮卦（艮下艮上，艮为山）,兼山，艮；君子以思不出其位。,艮其背，不获其身；行其庭，不见其人；无咎。,艮，止也。时止则止，时行则行，动静不失其时，其道光明。艮其止，止其所也；上下敌应，不相与也；是以不获其身，行其庭不见其人，无咎也。
,,,,
,,,,
,,,,
,,,,
,,,,
53,渐卦（艮下巽上，风山渐）,山上有木，渐；君子以居贤德善俗。,渐。女归，吉。利贞。,渐之进也，女归吉也。进得位，往有功也；进以正，可以正邦也。其位，刚得中也。止而巽，动不穷也。
,,,,
,,,,
,,,,
,,,,
,,,,
54,归妹卦（兑下震上，雷泽归妹）,泽上有雷，归妹；君子以永终知敝。,归妹。征凶，无攸利。,归妹，天地之大义也，天地不交而万物不兴。归妹，人之终始也；说以动，所归妹也；征凶，位不当也；无攸利，柔乘刚也。
,,,,
,,,,
,,,,
,,,,
,,,,
55,丰卦（离下震上，雷火丰）,雷电皆至，丰；君子以折狱致刑。,亨。王假之，勿忧；宜日中。,丰，大也。明以动，故丰；王假之，尚大也；勿忧宜日中，宜照天下也。日中则昃，月盈则食，天地盈虚，与时消息，而况于人乎？况于鬼神乎？
,,,,
,,,,
,,,,
,,,,
,,,,
56,旅卦（艮下离上，火山旅）,山上有火，旅；君子以明慎用刑，而不留获。,旅。小亨，旅贞吉。,旅，小亨；柔得中乎外，而顺乎刚，止而丽乎明，是以小亨，旅贞吉也。旅之时义大矣哉。
,,,,
,,,,
,,,,
,,,,
,,,,
57,巽卦（巽下巽上，巽为风）,随风，巽；君子以申命行事。,巽。小亨，利有攸往，利见大人。,重巽，以申命；刚巽乎中正而志行，柔皆顺乎刚，是以小亨，利有攸往，利见大人。
,,,,
,,,,
,,,,
,,,,
,,,,
58,兑卦（兑下兑上，兑为泽）,丽泽，兑；君子以朋友讲习。,兑。亨，利贞。,兑，说也。刚中而柔外，说以利贞，是以顺乎天而应乎人。说以先民，民忘其劳；说以犯难，民忘其死。说之大，民劝矣哉。
,,,,
,,,,
,,,,
,,,,
,,,,
59,涣卦（坎下巽上，风水涣）,风行水上，涣；先王以享于帝，立庙。,涣。亨，王假有庙，利涉大川，利贞。,涣，亨，刚来而不穷，柔得位乎外而上同。王假有庙，王乃在中也；利涉大川，乘木有功也。
,,,,
,,,,
,,,,
,,,,
,,,,
60,节卦（兑下坎上，水泽节）,泽上有水，节；君子以制数度，议德行。,节。亨；苦节，不可贞。,节亨，刚柔他，而刚得中；苦节不可贞，其道穷也。说以得险，当位以节，中正以通，天地节而四时成。节以制度，不伤财，不害民。
,,,,
,,,,
,,,,
,,,,
,,,,
61,中孚卦（兑下巽上，风泽中孚）,泽上有风，中孚；君子以议狱缓死。,中孚。豚鱼吉，利涉大川，利贞。,中孚，柔在内而刚得中；说而巽，孚乃化邦也。豚鱼吉，信及豚鱼也；利涉大川，乘木舟虚也；中孚以利贞，乃应乎天也。
,,,,
,,,,
,,,,
,,,,
,,,,
62,小过卦（艮下震上，雷山小过）,山上有雷，小过；君子以行过乎恭，丧过乎哀，用过乎俭。,小过。亨，利贞，可小事，不可大事。飞鸟遗之音，不宜上，宜下，大吉。,小过，小者过而亨也；过以利贞，与时行也；柔得中，是以小事吉也；刚失位而不中，是以不可大事也；有飞鸟之象焉，飞鸟遗之音，不宜上，宜下，大吉，上逆而下顺也。
,,,,
,,,,
,,,,
,,,,
,,,,
63,既济卦（离下坎上，水火既济）,水在火上，既济；君子以思患而预防之。,既济。亨小，利贞；初吉，终乱。,既济亨，小者亨也；利贞，刚柔正而位当也；初吉，柔得中也；终止则乱，其道穷也。
,,,,
,,,,
,,,,
,,,,
,,,,
64,未济卦（坎下离上，火水未济）,火在水上，未济；君子以慎辨物居方。,未济。亨，小狐汔济，濡其尾，无攸利。,未济亨，柔得中也；小狐汔济，未出中也；濡其尾，无攸利，不续终也；虽不当位，刚柔应也。
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
